anju,alcohol,explanation,score
bokkeum,soju,역시 맵싹한 볶음에 소주만큼 최고의 조합은 없죠!,90
bokkeum,fruit_soju,볶음음식에 과일소주를 드시는 건 음료수 대용인가요?,40
bokkeum,can_beer,간단하게 혼술 조합으론 맥주에 맵싹한 볶음만한게 없죠.,76
bokkeum,bottle_beer,간단하게 혼술 조합으론 맥주에 맵싹한 볶음만한게 없죠.,78
bokkeum,live_beer,맵싹한 볶음엔 차라리 생맥보단..캔맥주나 병맥주가 나아요.,66
bokkeum,makgeolli,막걸리에 맵싹한 볶음류? 힘을 숨긴 진짜 주당이시군요!,82
bokkeum,kettle_makgeolli,막걸리는 또 주전자 막걸리죠. 이 조합에 맵싹한 볶음은 근본 그 자체,90
bokkeum,bottle_wine,와인하고 맵싹한 볶음이여?....다음날 머리 깨질 각오는 되신건지..,40
bokkeum,glass_red_wine,와인하고 맵싹한 볶음이여?....다음날 머리 깨질 각오는 되신건지..,40
bokkeum,glass_white_wine,화이트와인과 맵싹한 볶음? ...오히려 좋아.,60
bokkeum,sake_pack,사케하고 맵싹한 볶음? 소주하고 볶음이 가성비가 좋긴할걸여..조합은 Not Bad ,70
bokkeum,liquor,양주하고 맵싹한 볶음 비추요. 양주가 아깝습니다.,32
bossam,soju,삶은 고기는 그냥 먹어도 맛있지만 역시 소주를 곁들인다면 금상첨화!,80
bossam,fruit_soju,삶은 고기에 과일 소주를 드시는 당신 혹시 미성년자는 아니시죠?,45
bossam,can_beer,무난하네요! 먹다가 술생각이 나서 꺼내온 건가요?,75
bossam,bottle_beer,시원한 맥주에 삶은 고기 한 점은 반주하기에 딱이죠!,50
bossam,live_beer,고기집에서 생맥주파는거 보신분 혹시 있으신가요? 어이가 아리마셍,20
bossam,makgeolli,조선시대부터 이어져온 조합입니다. 뼛속까지 대한민국인.,90
bossam,kettle_makgeolli,조선시대부터 이어져온 조합입니다. 뼛속까지 대한민국인.,90
bossam,bottle_wine,동서양의 만남.. 하이브리드 술안주 궁합,88
bossam,glass_red_wine,동서양의 만남.. 하이브리드 술안주 궁합,88
bossam,glass_white_wine,동서양의 만남.. 하이브리드 술안주 궁합,88
bossam,sake_pack,이자카야에서 보쌈을 팔지 않는건 다 이유가 있는겁니다...,30
bossam,liquor,"보쌈에 어울리는 씁쓸한 양주의 향을 즐기는 당신, 챔피언입니다.",60
canape,soju,"소주에 치즈요리라니, 창의력이 풍부하시군요...? 보다 달달한 술이 어울려요!",46
canape,fruit_soju,와인을 대체할 용도면 나쁘지 않아요.,60
canape,can_beer,시원한 맥주와 가벼운 치즈 요리의 조합! 가볍게 먹기에 제격입니다!,40
canape,bottle_beer,시원한 맥주와 가벼운 치즈 요리의 조합! 가볍게 먹기에 제격입니다!,40
canape,live_beer,시원한 맥주와 가벼운 치즈 요리의 조합! 가볍게 먹기에 제격입니다!,40
canape,makgeolli,새로운 시도를 하셨네요. 와인과 같은 발효주니 괜찮을지도...?,60
canape,kettle_makgeolli,새로운 시도를 하셨네요. 와인과 같은 발효주니 괜찮을지도...? 하지만 주전자와 치즈의 비주얼 조합은.....,60
canape,bottle_wine,와인 안주에 이만한 게 없죠. 분위기 좋게 혼술하세요!,85
canape,glass_red_wine,치즈 요리의 진리는 레드 와인 그 자체 입니다.,92
canape,glass_white_wine,치즈 요리와 화이트 와인은 생각보다 느끼할 수 있지요.,75
canape,sake_pack,사케에 치즈 요리.. 나폴레옹의 개척정신을 이어받으신 분들이군요,60
canape,liquor,강렬한 알콜향을 치즈로 잡아주는 조합. 찬성입니다.,70
cheese,soju,치즈는 와인에게 양보하세요.... 제발요!,10
cheese,fruit_soju,치즈는 와인에게 양보하세요.... 제발요!,10
cheese,can_beer,열심히 일한 당신! 시원한 맥주 한잔!,92
cheese,bottle_beer,열심히 일한 당신! 시원한 맥주 한잔!,92
cheese,live_beer,열심히 일한 당신! 시원한 맥주 한잔!,92
cheese,makgeolli,"남사친, 여사친과 마실때만 가능한 조합 ",51
cheese,kettle_makgeolli,"남사친, 여사친과 마실때만 가능한 조합 ",51
cheese,bottle_wine,풍미좋은 치즈와 와인은 너무나 유명하죠,99
cheese,glass_red_wine,풍미좋은 치즈와 와인은 너무나 유명하죠,99
cheese,glass_white_wine,화이트 와인에 깔끔한 치즈한조각!,99
cheese,sake_pack,따듯하게 데운 사케는  따듯한 국물과 함께해요 ,51
cheese,liquor,저지방 고단백 치즈와 양주는 숨겨진 찰떡궁합,99
chicken,soju,치소파이시군요? 소주보다는 맥주와 함께 하는 건 어떨까요?,78
chicken,fruit_soju,"WOW, 기름진 치킨에 상큼한 과일소주",93
chicken,can_beer,치맥은 사랑입니다.  ,100
chicken,bottle_beer,치맥은 진리입니다. ,100
chicken,live_beer,치느님과 생맥주 한잔! 캬~~~,100
chicken,makgeolli,아무거나 막~~시키셨어요. 취하신거죠 ? ,51
chicken,kettle_makgeolli,아무거나 막~~시키셨어요. 취하신거죠 ? ,51
chicken,bottle_wine,와인에 기름진 치킨보다는 단백한 치즈나 마른안주가 어떨까요 ? ,64
chicken,glass_red_wine,와인에 기름진 치킨보다는 단백한 치즈나 마른안주가 어떨까요 ? ,64
chicken,glass_white_wine,와인에 기름진 치킨보다는 단백한 치즈나 마른안주가 어떨까요 ? ,64
chicken,sake_pack,개취 ! 난 스타일 강한사람이야~~ ,51
chicken,liquor,오늘은 양주마시는 날.. 아무거나 시켜~,51
corncheese,soju,소주의 기본안주!콘치즈!,92
corncheese,fruit_soju,콘치즈는 어디에나 찰떡인데~ 과일소주와도 어울리나요?,75
corncheese,can_beer,직접 만든 콘치즈인가요? 어쨌거나 맥주와 마시면 최고 맛있다는 점!,96
corncheese,bottle_beer,직접 만든 콘치즈인가요? 어쨌거나 맥주와 마시면 최고 맛있다는 점!,96
corncheese,live_beer,기본적인 안주지만 맥주와 함께 곁들이만 이만한 것도 없죠!,91
corncheese,makgeolli,콘치즈와 막걸리... 평범하게 괜찮은 조합이네요! ,74
corncheese,kettle_makgeolli,콘치즈와 막걸리... 평범하게 괜찮은 조합이네요! ,74
corncheese,bottle_wine,와인에 간단하게 곁들여먹기 좋죠~,89
corncheese,glass_red_wine,와인에 간단하게 곁들여먹기 좋죠~,89
corncheese,glass_white_wine,와인에 간단하게 곁들여먹기 좋죠~,89
corncheese,sake_pack,사케에 콘치즈.. 달고 쓴 단쓴 조합이네요. 매력적이에요.,72
corncheese,liquor,양주와 콘치즈는 카나페 대용으론 안성맞춤이네요.,71
dakbal,soju,"닭발에는 역시 소주죠! 당신은 뼈닭발 파인가요, 무뼈닭발 파인가요?",90
dakbal,fruit_soju,닭발의 매콤한 맛과 과일은 조금 안어울릴 수도 있겠네요.,45
dakbal,can_beer,맥주와 닭발? 매운맛을 잡아주는 톡쏘는 탄산. 이거 좋은데요?,75
dakbal,bottle_beer,맥주와 닭발? 매운맛을 잡아주는 톡쏘는 탄산. 이거 좋은데요?,75
dakbal,live_beer,맥주와 닭발? 매운맛을 잡아주는 톡쏘는 탄산. 이거 좋은데요?,80
dakbal,makgeolli,닭갈비는 소주 뿐만 아니라 막걸리와도 잘 어울린다는 사실!,88
dakbal,kettle_makgeolli,닭갈비는 소주 뿐만 아니라 막걸리와도 잘 어울린다는 사실!,88
dakbal,bottle_wine,달고 맵고 이 조합 반대...건강을 해치는 맛..,49
dakbal,glass_red_wine,달고 맵고 이 조합 반대...건강을 해치는 맛..,49
dakbal,glass_white_wine,달고 맵고 이 조합 반대...건강을 해치는 맛..,49
dakbal,sake_pack,닭발에는 역시 사케가 최고죠!,90
dakbal,liquor,이런 조합은 별로 안 어울릴 것 같지 않나요?,50
dakgalbi,soju,"닭갈비에 소주, 꽤 괜찮은 조합이네요!",80
dakgalbi,fruit_soju,"과일향이 들어간 건 조금 안 어울릴 수 있지만, 취할 수만 있다면 괜찮을지도 몰라요!",70
dakgalbi,can_beer,"맥주는 조금 안 어울릴 수 있지만, 정 원하신다면...",70
dakgalbi,bottle_beer,"맥주는 조금 안 어울릴 수 있지만, 정 원하신다면...",70
dakgalbi,live_beer,"맥주는 조금 안 어울릴 수 있지만, 정 원하신다면...",70
dakgalbi,makgeolli,닭갈비에 막걸리를 곁들이면 진짜 좋아요!,85
dakgalbi,kettle_makgeolli,주전자에 담긴 막걸리를 곁들이면 더욱 좋습니다!,87
dakgalbi,bottle_wine,닭갈비에 와인? NO~,30
dakgalbi,glass_red_wine,닭갈비에 와인? NO~,30
dakgalbi,glass_white_wine,닭갈비에 와인? NO~,30
dakgalbi,sake_pack,닭갈비에 사케도 나쁘지 않아요!,78
dakgalbi,liquor,이런 경우에 양주를 먹는 건 좀...,50
drysnacks,soju,소주를 마른 안주와 먹는 것도 나름 괜찮아요!,70
drysnacks,fruit_soju,소주만큼은 아니지만... 그래도 괜찮네요,65
